experiment,tcp mean,tcp ci,udp mean,udp ci
loss_5,26.59,"(23.44, 29.74)",4.50,"(3.73, 5.27)"
loss_10,33.09,"(30.13, 36.04)",8.26,"(5.06, 11.46)"
corrupt_10,33.10,"(30.86, 35.34)",5.65,"(5.27, 6.03)"
corrupt_5,30.06,"(24.03, 36.09)",5.04,"(3.42, 6.67)"
duplicate_5,28.29,"(25.00, 31.59)",2.98,"(2.77, 3.18)"
duplicate_10,30.66,"(27.79, 33.52)",3.79,"(2.94, 4.65)"
loss_0,22.36,"(19.41, 25.32)",3.01,"(2.83, 3.20)"
duplicate_0,24.70,"(21.90, 27.50)",2.95,"(2.85, 3.04)"
corrupt_0,24.31,"(21.58, 27.04)",2.91,"(2.76, 3.05)"
baseline,20.44,"(17.22, 23.65)",2.99,"(2.88, 3.10)"
delay_100ms_uniform,26.57,"(25.73, 27.40)",3.17,"(3.14, 3.20)"
loss_15,260.28,"(167.56, 352.99)",43.65,"(40.93, 46.37)"
